Listing,Lat,Lon,Address,City,Type,List_Price,Sold_Price,Bedroom,Bathroom,Garage,Tax,Maintenance,Age,Size,Lot_Size,Days,List_Date
C4682063,43.69719,-79.3903,Unit 1007 - 195 Merton St,Toronto,Condo Apt,1339880,1367000,3 Bedroom,2 Bathroom,1 Garage,4408,$1326/month,-,1200-1399 feet²,,7,2020-02-03
C4693599,43.7671235,-79.3713664,Unit 3205 - 117 Mcmahon Dr,North York,Condo Apt,479000,545000,1 Bedroom,1 Bathroom,1 Garage,0,$386/month,0-5,500-599 feet²,,4,2020-02-15
N4713133,43.98323,-79.44486,53 Stonecliffe Cres,Aurora,Condo Townhouse,1299000,1080000,3 Bedroom,3 Bathroom,2 Garage,7148,$848/month,-,2750-2999 feet²,,46,2020-03-06
E4775770,43.81939,-79.10091,973 Vistula Dr,Pickering,Detached,849900,837500,3+2 Bedroom,2 Bathroom,1 Garage,4938,,-,1750 feet²,50 x 100.00 feet,1,2020-06-01
N4695114,43.97394,-79.23799,190 Stouffer St,Whitchurch-Stouffville,Semi-Detached,798000,840000,4 Bedroom,3 Bathroom,1 Garage,4605,,-,1750 feet²,34.47 x 128.49 feet,3,2020-02-18
E4722501,43.78728,-79.13158,16 Broadbridge Dr,Scarborough,Detached,1000000,953000,4 Bedroom,3 Bathroom,2 Garage,4100,,-,2250 feet²,50 feet,15,2020-03-16
W4750864,43.71045,-79.6993,35 Autumn Blvd,Brampton,Detached,744999,732000,3+2 Bedroom,2 Bathroom,0 Garage,3827,,-,1300 feet²,57.32 x 117.59 feet,20,2020-04-30
W4720165,43.61517,-79.6594,Unit 1033 - 95 Trailwood Dr,Mississauga,Condo Apt,429900,460000,2 Bedroom,2 Bathroom,1 Garage,1565,$614/month,-,900-999 feet²,,3,2020-03-13
W4665240,43.58875,-79.65177,Unit 906 - 350 Rathburn Rd W,Mississauga,Condo Apt,509800,500000,2+1 Bedroom,1 Bathroom,2 Garage,1924,$714/month,-,900-999 feet²,,18,2020-01-10
W4704743,43.65931,-79.7794,40 Sliprock Cres,Brampton,Detached,999999,1031011,4 Bedroom,4 Bathroom,2 Garage,6681,,0-5,2750 feet²,32.16 x 90.62 feet,10,2020-02-28
W4653131,43.67726,-79.50683,Unit 1001 - 270 Scarlett Rd,Toronto,Condo Apt,588000,580000,2 Bedroom,2 Bathroom,1 Garage,1908,$774/month,31-50,1000-1199 feet²,,52,2019-12-13
W4687983,43.65502,-79.56055,128 Meadowbank Rd,Etobicoke,Detached,1150000,1255900,3+1 Bedroom,2 Bathroom,1 Garage,4937,,-,1300 feet²,49.21 x 125.31 feet,2,2020-02-10
W4664873,43.5305,-79.68785,2698 Windjammer Rd,Mississauga,Semi-Detached,835000,858800,4+1 Bedroom,3 Bathroom,1 Garage,4074,,31-50,1500-2000 feet²,29.99 x 125.00 feet,2,2020-01-10
W4729995,43.66679,-79.42871,489 Concord Ave,Toronto,Detached,1348000,1280600,2 Bedroom,3 Bathroom,1 Garage,4275,,-,1750 feet²,15.94 x 124.00 feet,29,2020-03-23
W4667192,43.57665,-79.57742,642 Arbor Rd,Mississauga,Detached,1088800,1065000,4 Bedroom,2 Bathroom,1 Garage,5048,,-,1750 feet²,50 x 120.72 feet,11,2020-01-13
W4766907,43.6590267,-79.9088706,6 Edwin Lane,Halton Hills,Condo Townhouse,575800,585000,3 Bedroom,3 Bathroom,1 Garage,2414,$312/month,16-30,1200-1399 feet²,,5,2020-05-21
E4711669,43.77346,-79.25359,Unit Uph3605 - 190 Borough Dr,Scarborough,Condo Apt,737888,760000,2+1 Bedroom,2 Bathroom,1 Garage,2879,$701/month,6-10,1000-1199 feet²,,8,2020-03-05
W4699797,43.74213,-79.81867,19 Snellview Blvd,Caledon,Detached,1199900,1190000,4 Bedroom,4 Bathroom,2 Garage,6655,,-,3000-3500 feet²,52.03 x 101.58 feet,6,2020-02-23
W4749609,43.60224,-79.64985,Unit 215 - 50 Kingsbridge Garden Circ,Mississauga,Condo Apt,488800,500000,2+1 Bedroom,1 Bathroom,2 Garage,1750,$700/month,-,800-899 feet²,,7,2020-04-28
C4716994,43.66176,-79.38363,Unit 3108 - 7 Grenville St,Toronto,Condo Apt,499000,525000,0+1 Bedroom,1 Bathroom,0 Garage,0,$268/month,New,0-499 feet²,,5,2020-03-11
C4679372,43.778,-79.45267,Unit 2004 - 131 Torresdale Ave,North York,Condo Apt,629000,623000,2+1 Bedroom,2 Bathroom,1 Garage,1768,$775/month,-,1200-1399 feet²,,6,2020-01-30
W4662652,43.5888501,-79.75078,Unit 207 - 6500 Montevideo Rd,Mississauga,Condo Apt,499900,495000,2 Bedroom,2 Bathroom,3 Garage,2391,$706/month,31-50,1000-1199 feet²,,17,2020-01-06
W4677801,43.61987,-79.48443,Unit Ph 3106 - 2269 Lake Shore Blvd W,Etobicoke,Condo Apt,949000,964000,2 Bedroom,2 Bathroom,2 Garage,2853,$1012/month,-,1000-1199 feet²,,6,2020-01-28
E4763581,43.81011,-79.20479,85 Nabob Cres,Scarborough,Semi-Detached,699000,685000,3+1 Bedroom,3 Bathroom,1 Garage,2130,,-,1750 feet²,20 x 115.00 feet,10,2020-05-18
E4719251,43.744281,-79.2088548,Unit 184 - 50 Scarborough Golf Clu Rd,Scarborough,Condo Townhouse,489000,470000,3+1 Bedroom,3 Bathroom,1 Garage,1315,$899/month,-,1800-1999 feet²,,85,2020-03-08
W4723787,43.53642,-79.68075,3281 Hornbeam Cres,Mississauga,Semi-Detached,699900,750000,3 Bedroom,2 Bathroom,0 Garage,3597,,31-50,1300 feet²,31.27 x 120.00 feet,1,2020-03-17
W4687608,43.74187,-79.59565,Unit 118 - 16 Litchfield Crt,Etobicoke,Condo Townhouse,534900,531000,3+1 Bedroom,3 Bathroom,1 Garage,1600,$515/month,-,1200-1399 feet²,,18,2020-02-08
N4722683,43.90473,-79.65079,75 Lynwood Cres,King,Detached,968800,900000,4+3 Bedroom,4 Bathroom,1 Garage,6156,,-,2750 feet²,80 x 150.00 feet,81,2020-03-16
W4698343,43.67887,-79.74455,30 Nanwood Dr,Brampton,Detached,909000,890000,3+3 Bedroom,4 Bathroom,2 Garage,5200,,-,1100-1500 feet²,70 x 115.00 feet,6,2020-02-21
C4678412,43.6547,-79.37916,Unit 1801 - 210 Victoria St,Toronto,Condo Apt,959900,920000,2 Bedroom,3 Bathroom,1 Garage,4525,$1176/month,-,1400-1599 feet²,,44,2020-01-26
E4741405,43.76672,-79.19615,Unit 904 - 207 Galloway Rd,Scarborough,Condo Apt,320000,312000,2 Bedroom,1 Bathroom,1 Garage,581,$724/month,-,800-899 feet²,,22,2020-04-13
W4724897,43.70208,-79.77175,48 Elderwood Pl,Brampton,Detached,609900,625000,3 Bedroom,2 Bathroom,1 Garage,3977,,31-50,1500-2000 feet²,24.89 x 100.54 feet,26,2020-03-18
W4676007,43.6012883,-79.5244084,Unit Th25 - 120 Twenty Fourth St,Etobicoke,Condo Townhouse,649900,649900,2 Bedroom,2 Bathroom,1 Garage,2090,$274/month,-,900-999 feet²,,6,2020-01-25
W4713116,43.69902,-79.83179,58 Trumpet Valley Blvd,Brampton,Semi-Detached,760000,776000,4 Bedroom,4 Bathroom,1 Garage,4045,,-,2000-2500 feet²,26.02 x 85.30 feet,3,2020-03-06
W4767656,43.62917,-79.89477,17 Standish St,Halton Hills,Detached,1090000,1090000,4 Bedroom,5 Bathroom,2 Garage,5911,,16-30,3000-3500 feet²,40.68 x 115.49 feet,12,2020-05-21
E4706588,43.7751,-79.1716,43 Megan Ave,Scarborough,Detached,939000,910000,4+1 Bedroom,3 Bathroom,0 Garage,4128,,31-50,1750 feet²,50 x 200.00 feet,11,2020-03-02
W4634513,43.6546,-79.72056,45 Cherrytree Dr,Brampton,Detached,824500,803000,4+1 Bedroom,4 Bathroom,2 Garage,4968,,-,2250 feet²,49.87 x 98.35 feet,54,2019-11-14
E4667223,43.87906,-79.05451,42 Selby Dr,Ajax,Detached,848800,855000,3 Bedroom,3 Bathroom,2 Garage,6264,,-,2750 feet²,34.12 x 114.00 feet,7,2020-01-14
E4718586,43.78115,-79.24545,Unit 1210 - 1 Lee Centre Dr,Scarborough,Condo Apt,468000,505000,2 Bedroom,2 Bathroom,1 Garage,1585,$675/month,-,800-899 feet²,,8,2020-03-12
E4668154,43.71043,-79.27252,1 Annan Dr,Scarborough,Detached,699000,853800,3+2 Bedroom,2 Bathroom,1 Garage,3170,,-,1300 feet²,40 x 125.50 feet,12,2020-01-15
N4771450,43.89685,-79.46494,48 Painted Rock Dr,Richmond Hill,Detached,975000,1005000,4 Bedroom,3 Bathroom,2 Garage,5452,,-,2000-2500 feet²,34.45 x 131.23 feet,1,2020-05-27
N4673545,43.86688,-79.44072,Unit 707 - 40 Harding Blvd W,Richmond Hill,Condo Apt,688800,678000,2+1 Bedroom,2 Bathroom,1 Garage,2366,$920/month,-,1200-1399 feet²,,29,2020-01-22
C4681836,43.77878,-79.39682,274 Dunview Ave,North York,Detached,1175000,1680000,3 Bedroom,2 Bathroom,1 Garage,7266,,-,2000-2500 feet²,45.01 x 135.70 feet,8,2020-02-03
E4746436,43.8433628,-79.0752336,1562 Alwin Circ,Pickering,Freehold Townhouse,549900,590000,3+1 Bedroom,3 Bathroom,1 Garage,3559,,-,- feet²,26.31 x 104.81 feet,8,2020-04-21
W4672927,43.76543,-79.50032,Unit 4 - 365 Murray Ross Pkwy,North York,Condo Townhouse,599000,651000,3 Bedroom,2 Bathroom,2 Garage,2407,$263/month,-,1200-1399 feet²,,9,2020-01-21
E4662404,43.86372,-79.06465,49 Hibbins Ave,Ajax,Detached,974999,945000,3 Bedroom,3 Bathroom,2 Garage,6010,,-,2250 feet²,108.02 x 47.28 feet,45,2020-01-07
C4666525,43.78944,-79.45589,13 Kite Hawkway Way,North York,Condo Townhouse,699900,745000,3 Bedroom,3 Bathroom,1 Garage,2784,$437/month,-,1400-1599 feet²,,17,2020-01-12
C4737874,43.67059,-79.38059,Unit 4208 - 28 Ted Rogers Way,Toronto,Condo Apt,1089000,1065000,2+1 Bedroom,2 Bathroom,1 Garage,3720,$803/month,-,900-999 feet²,,15,2020-04-06
W4731192,43.58265,-79.72394,30 Joymar Dr,Mississauga,Detached,1899890,1800000,4 Bedroom,4 Bathroom,4 Garage,8669,,0-5,3500-5000 feet²,60 x 153.80 feet,49,2020-03-25
W4710492,43.58898,-79.63077,Unit 1908 - 3515 Kariya Dr,Mississauga,Condo Apt,499000,537500,1+1 Bedroom,1 Bathroom,1 Garage,2066,$487/month,-,600-699 feet²,,3,2020-03-05
W4644863,43.63329,-79.87426,410 Barber Dr,Halton Hills,Detached,999000,1005000,4 Bedroom,4 Bathroom,2 Garage,5661,,6-15,3000-3500 feet²,86.25 x 142.98 feet,10,2019-11-29
