Listing,Lat,Lon,Address,City,Type,List_Price,Sold_Price,Bedroom,Bathroom,Garage,Tax,Maintenance,Age,Size,Lot_Size,Days,List_Date
N4688846,43.896589,-79.2657965,Unit 911 - 9500 Markham Rd,Markham,Condo Apt,479900,495000,1+1 Bedroom,1 Bathroom,1 Garage,2051,$468/month,-,600-699 feet²,,14,2020-02-10
N4630341,43.97357,-79.23807,184 Stouffer St,Whitchurch-Stouffville,Detached,1478000,1500000,4+1 Bedroom,5 Bathroom,2 Garage,7739,,-,3000-3500 feet²,91.95 x 49.88 feet,34,2019-11-08
C4561588,43.64586,-79.39195,Unit 3702 - 355 King St W,Toronto,Condo Apt,899000,740000,2+1 Bedroom,2 Bathroom,0 Garage,0,-,New,700-799 feet²,,196,2019-08-30
N4764150,43.88677,-79.3091,190 Wilfred Murison Ave,Markham,Semi-Detached,1099000,1062000,4 Bedroom,3 Bathroom,1 Garage,4845,,6-15,2000-2500 feet²,24.61 x 105.81 feet,15,2020-05-19
C4691614,43.68567,-79.40469,Unit 309 - 223 St Clair Ave W,Toronto,Condo Apt,650000,660500,1+1 Bedroom,1 Bathroom,1 Garage,2655,$541/month,0-5,600-699 feet²,,13,2020-02-12
C4677944,43.68692,-79.42962,513 Rushton Rd,Toronto,Detached,1199000,1420000,3+1 Bedroom,2 Bathroom,1 Garage,4756,,-,1300 feet²,25 x 95.00 feet,6,2020-01-28
W4683180,43.76946,-79.51981,Unit 823 - 4645 Jane St,North York,Condo Apt,139900,145000,2 Bedroom,1 Bathroom,1 Garage,243,$734/month,-,700-799 feet²,,21,2020-02-03
C4681972,43.64305,-79.40544,Unit 310 - 78 Tecumseth St,Toronto,Condo Apt,549000,570000,1 Bedroom,1 Bathroom,0 Garage,1879,$221/month,-,500-599 feet²,,8,2020-02-03
E4648641,43.66823,-79.30739,Unit 401 - 1829 Queen St E,Toronto,Condo Apt,699000,847500,2 Bedroom,2 Bathroom,1 Garage,2917,$674/month,-,900-999 feet²,,10,2019-11-30
W4694086,43.6655168,-79.4461593,Unit 1016 - 812 Lansdowne Ave,Toronto,Condo Apt,419000,505000,1 Bedroom,1 Bathroom,0 Garage,1391,$279/month,-,500-599 feet²,,2,2020-02-17
W4672075,43.72235,-79.75478,7 Nuttall St,Brampton,Detached,849900,850000,4+2 Bedroom,4 Bathroom,1 Garage,4605,,-,2250 feet²,36 x 100.00 feet,15,2020-01-20
W4698004,43.63625,-79.79288,4 Bushfield Cres,Brampton,Detached,1200000,1227500,4 Bedroom,4 Bathroom,2 Garage,8041,,0-5,2500-3000 feet²,38.06 x 184.81 feet,5,2020-02-20
C4653350,43.66879,-79.38393,Unit 710 - 45 Charles St E,Toronto,Condo Apt,649900,707000,1+1 Bedroom,2 Bathroom,0 Garage,3037,$412/month,0-5,600-699 feet²,,6,2019-12-14
W4750814,43.79142,-79.74331,20 Fontainebleu Rd,Brampton,Detached,1099888,1100000,4 Bedroom,4 Bathroom,2 Garage,6988,,6-15,2750 feet²,56.56 x 114.83 feet,9,2020-04-30
E4656537,43.6966,-79.29417,Unit 2505 - 1 Massey Square Sq,Toronto,Condo Apt,489000,486000,3 Bedroom,2 Bathroom,0 Garage,1067,$839/month,-,1200-1399 feet²,,2,2019-12-20
W4690898,43.5367332,-79.8572675,Unit 302 - 1470 Main St E,Milton,Condo Apt,599900,609900,3 Bedroom,2 Bathroom,1 Garage,2013,$430/month,-,1200-1399 feet²,,12,2020-02-12
W4740298,43.68867,-79.74596,9 Wilton Dr,Brampton,Semi-Detached,659700,650000,3+1 Bedroom,2 Bathroom,1 Garage,3637,,-,- feet²,24.61 x 93.50 feet,8,2020-04-08
E4681788,43.80706,-79.22822,Unit 119 - 42 Pinery Tr,Scarborough,Condo Townhouse,449999,470000,3 Bedroom,2 Bathroom,1 Garage,1469,$407/month,-,800-899 feet²,,9,2020-02-03
E4748410,43.73774,-79.29849,41 Wexford Blvd,Scarborough,Detached,799000,765000,3 Bedroom,2 Bathroom,1 Garage,3744,,-,- feet²,40.16 x 128.00 feet,6,2020-04-24
E4696425,43.77074,-79.21941,858 Scarborough Golf Clu Rd,Scarborough,Detached,699900,827000,3+1 Bedroom,2 Bathroom,1 Garage,3100,,-,1300 feet²,45 x 112.00 feet,3,2020-02-19
C4687891,43.72371,-79.32533,Unit 301 - 195 Wynford Dr,Toronto,Condo Apt,649000,649000,2+1 Bedroom,2 Bathroom,1 Garage,2202,$951/month,-,1200-1399 feet²,,41,2020-02-10
E4643892,43.70494,-79.27737,234 Dairy Dr,Scarborough,Freehold Townhouse,759000,750000,3+1 Bedroom,3 Bathroom,1 Garage,3026,$47/month,6-15,1750 feet²,13.78 x 72.18 feet,16,2019-11-28
N4619538,43.8070782,-79.4231873,Unit 180 - 18 Clark Ave N,Vaughan,Condo Townhouse,895000,897500,3 Bedroom,4 Bathroom,1 Garage,3793,$560/month,16-30,1600-1799 feet²,,68,2019-10-28
W4710777,43.75064,-79.46414,Unit 809 - 1060 Sheppard Ave W,North York,Condo Apt,499900,527000,1+1 Bedroom,1 Bathroom,0 Garage,1753,$382/month,6-10,600-699 feet²,,11,2020-03-05
C4726377,43.6490405,-79.3756373,Unit 344 - 22 Leader Lane,Toronto,Condo Apt,439000,439000,0 Bedroom,1 Bathroom,0 Garage,1599,$431/month,100+,0-499 feet²,,3,2020-03-18
E4691036,43.81533,-79.21746,46 Rovinelli Rd,Scarborough,Detached,799800,900000,4+4 Bedroom,4 Bathroom,1 Garage,3080,,-,2250 feet²,39 x 103.09 feet,4,2020-02-12
W4675743,43.55634,-79.74055,3402 Fountain Park Ave,Mississauga,Semi-Detached,839000,868000,3+1 Bedroom,4 Bathroom,1 Garage,4148,,-,1750 feet²,22.31 x 104.17 feet,1,2020-01-24
N4756513,43.88949,-79.23423,122 Country Glen Rd,Markham,Freehold Townhouse,685000,750000,3 Bedroom,2 Bathroom,1 Garage,3045,,16-30,1300 feet²,18.67 x 100.00 feet,25,2020-05-07
N4651668,43.89974,-79.26593,Unit 717 - 9582 Markham Rd,Markham,Condo Apt,424900,424000,1 Bedroom,1 Bathroom,1 Garage,1752,$415/month,0-5,600-699 feet²,,15,2019-12-11
W4689273,43.59174,-79.75848,2663 Canberra Rd,Mississauga,Semi-Detached,739900,792500,3+1 Bedroom,2 Bathroom,1 Garage,3753,,-,1300 feet²,32.5 x 120.00 feet,1,2020-02-11
W4756729,43.72315,-79.44823,Unit 508 - 160 Flemington Rd,North York,Condo Apt,499000,490000,1+1 Bedroom,1 Bathroom,1 Garage,0,$399/month,0-5,600-699 feet²,,10,2020-05-07
N4631711,43.86796,-79.36018,54 Captain Francis Dr,Markham,Detached,1468000,1376000,4+2 Bedroom,4 Bathroom,2 Garage,6778,,-,2500-3000 feet²,49.61 x 139.44 feet,80,2019-11-11
W4766754,43.53737,-79.66911,Unit 62 - 3079 Fifth Line W,Mississauga,Condo Townhouse,579000,600000,2 Bedroom,3 Bathroom,1 Garage,2976,$309/month,31-50,1000-1199 feet²,,12,2020-05-21
W4692849,43.6416277,-79.5924395,Unit 22 - 2120 Rathburn Rd E,Mississauga,Condo Townhouse,599900,620900,4 Bedroom,4 Bathroom,1 Garage,3235,$578/month,-,1200-1399 feet²,,25,2020-02-14
W4711970,43.62116,-79.52154,Unit 2110 - 17 Zorra St,Etobicoke,Condo Apt,449900,500000,1 Bedroom,1 Bathroom,0 Garage,0,$310/month,0-5,500-599 feet²,,8,2020-03-05
W4743901,43.68458,-79.85265,24 Padbury Tr,Brampton,Detached,1249000,1221000,5 Bedroom,4 Bathroom,2 Garage,7200,,0-5,3000-3500 feet²,38.04 x 90.02 feet,19,2020-04-16
W4661863,43.61072,-79.65919,Unit 612 - 55 Strathaven Dr,Mississauga,Condo Apt,429900,442000,1 Bedroom,1 Bathroom,1 Garage,1830,$456/month,16-30,600-699 feet²,,1,2020-01-07
W4776453,43.72022,-79.77719,38 Upper Highlands Dr,Brampton,Detached,790000,784000,3 Bedroom,3 Bathroom,1 Garage,4220,,6-15,1500-2000 feet²,33.6 x 82.09 feet,1,2020-05-30
C4725035,43.78212,-79.44785,198 Antibes Dr,North York,Condo Townhouse,699000,730000,3 Bedroom,2 Bathroom,1 Garage,2324,$457/month,-,1200-1399 feet²,,12,2020-03-18
E4626957,43.66737,-79.33437,Unit 5 - 175 Jones Ave,Toronto,Condo Townhouse,1238000,1187000,2+1 Bedroom,2 Bathroom,0 Garage,5139,$309/month,-,1600-1799 feet²,,66,2019-11-05
E4763905,43.67609,-79.3032,315 Waverley Rd,Toronto,Semi-Detached,999000,1225315,3+1 Bedroom,2 Bathroom,0 Garage,5712,,-,1300 feet²,19.67 x 140.00 feet,2,2020-05-19
W4734376,43.71301,-79.82329,9 Putnam Dr,Brampton,Detached,799900,815500,4+1 Bedroom,4 Bathroom,2 Garage,4900,,-,2000-2500 feet²,36.1 x 86.76 feet,7,2020-03-31
N4702810,43.89012,-79.46488,9 Belize Crt,Richmond Hill,Detached,1699000,1703800,4+3 Bedroom,5 Bathroom,2 Garage,6082,,-,3250 feet²,29 x 108.00 feet,3,2020-02-26
N4668521,43.78347,-79.59496,45 Old Firehall Lane,Vaughan,Condo Townhouse,758000,755000,3 Bedroom,3 Bathroom,1 Garage,3405,$338/month,-,1600-1799 feet²,,13,2020-01-15
W4682859,43.53033,-79.65874,Unit 18 - 2355 Fifth Line W,Mississauga,Condo Townhouse,689000,680000,3 Bedroom,2 Bathroom,1 Garage,3002,$365/month,-,1400-1599 feet²,,3,2020-02-03
W4747857,43.57001,-79.74431,6140 Starfield Cres,Mississauga,Detached,778000,785000,3 Bedroom,2 Bathroom,2 Garage,4396,,31-50,1100-1500 feet²,72.7 x 105.09 feet,4,2020-04-24
W4678757,43.60152,-79.67988,732 Esprit Cres,Mississauga,Detached,1120000,1020000,4+1 Bedroom,4 Bathroom,2 Garage,5500,,31-50,2000-2500 feet²,40.03 x 117.19 feet,29,2020-01-28
W4726070,43.51393,-79.84433,1065 Bowring Cres,Milton,Detached,799000,805000,3+1 Bedroom,4 Bathroom,1 Garage,3900,,6-15,1750 feet²,29.1 x 80.45 feet,18,2020-03-19
W4705815,43.66862,-79.57806,26 Hartland Rd,Etobicoke,Detached,980000,1081000,3+2 Bedroom,2 Bathroom,2 Garage,4350,,-,1500-2000 feet²,45 x 122.50 feet,2,2020-03-01
W4695637,43.7203,-79.73118,11 Heatherside Crt,Brampton,Detached,639900,630000,3+1 Bedroom,2 Bathroom,0 Garage,3212,,-,1300 feet²,20.04 x 70.00 feet,20,2020-02-19
W4709935,43.63997,-79.58454,Unit 1606 - 335 Mill Rd Rd,Etobicoke,Condo Apt,499900,493000,2 Bedroom,2 Bathroom,2 Garage,1368,$895/month,-,1000-1199 feet²,,10,2020-03-04
N4672472,43.7819478,-79.5824946,4781 Highway 7,Vaughan,Freehold Townhouse,797000,900000,3+1 Bedroom,4 Bathroom,1 Garage,3723,,-,2000-2500 feet²,23.92 x 67.62 feet,6,2020-01-21
W4693080,43.69367,-79.7935,39 Silkwood Cres,Brampton,Detached,649900,670000,1+2 Bedroom,2 Bathroom,2 Garage,3988,,16-30,1500-2000 feet²,29.53 x 108.27 feet,2,2020-02-14
N4589568,43.85107,-79.44034,231 Carrville Rd,Richmond Hill,Detached,1598888,1500000,4+1 Bedroom,2 Bathroom,0 Garage,7624,,-,2750 feet²,45 x 241.00 feet,110,2019-09-26
N4648796,43.96933,-79.48515,31 Allenvale Dr,Aurora,Detached,1189000,1144250,4 Bedroom,4 Bathroom,2 Garage,6688,,-,3000-3500 feet²,64.9 x 110.17 feet,13,2019-12-05
W4670132,43.71313,-79.81146,3 Tinsmith St,Brampton,Semi-Detached,659900,700000,3 Bedroom,3 Bathroom,1 Garage,3758,,-,1750 feet²,36.09 x 83.66 feet,15,2020-01-17
W4713105,43.54828,-79.74795,3868 Arbourview Terr,Mississauga,Detached,999990,982500,3+2 Bedroom,4 Bathroom,2 Garage,5022,,-,2250 feet²,36.09 x 85.30 feet,17,2020-03-06
N4629520,43.93102,-79.53153,128 Humber Cres,King,Detached,849900,829000,3+1 Bedroom,1 Bathroom,1 Garage,5571,,-,1300 feet²,51.75 x 146.75 feet,54,2019-11-07
C4696812,43.76927,-79.4113,Unit 1503 - 35 Empress Ave,North York,Condo Apt,599000,730000,2+1 Bedroom,2 Bathroom,1 Garage,2393,$561/month,-,800-899 feet²,,6,2020-02-20
E4689337,43.69641,-79.27299,13 Butterworth Ave,Scarborough,Detached,1279000,1200000,4+1 Bedroom,4 Bathroom,1 Garage,4681,,-,2250 feet²,25 x 100.00 feet,9,2020-02-11
E4711862,43.83608,-79.12171,725 Aspen Rd,Pickering,Detached,948800,940000,4+1 Bedroom,4 Bathroom,2 Garage,6497,,16-30,2500-3000 feet²,50 x 109.88 feet,5,2020-03-05
N4764274,43.87763,-79.24185,Unit 10 - 1 Wootten Way S,Markham,Condo Townhouse,588000,580000,3 Bedroom,2 Bathroom,0 Garage,2128,$542/month,-,1000-1199 feet²,,3,2020-05-19
N4701342,43.83066,-79.41746,41 Shieldmark Cres,Markham,Detached,999900,1401000,3 Bedroom,3 Bathroom,2 Garage,5214,,-,1750 feet²,70 x 120.01 feet,8,2020-02-25
W4660971,43.87611,-79.72229,44 Sir Lancelot Crt,Caledon,Detached,869900,875000,4 Bedroom,3 Bathroom,2 Garage,5317,,-,2500-3000 feet²,48.15 x 128.54 feet,10,2020-01-06
N4722183,43.84624,-79.28747,62 Cornell Cres,Markham,Detached,1229000,1180888,4 Bedroom,3 Bathroom,2 Garage,5485,,-,2500-3000 feet²,46.07 x 108.38 feet,59,2020-03-16
N4667294,43.80595,-79.42277,Unit 501 - 7300 Yonge St,Vaughan,Condo Apt,699900,725000,2+1 Bedroom,2 Bathroom,1 Garage,3758,$1023/month,-,1400-1599 feet²,,15,2020-01-14
E4693777,43.8793171,-79.0071978,13 Skelton Cres,Ajax,Detached,799900,800000,4 Bedroom,3 Bathroom,1 Garage,5752,,-,2250 feet²,37.34 x 91.62 feet,18,2020-02-16
W4748656,43.72593,-79.79496,46 Steven Crt,Brampton,Detached,769000,745000,3+1 Bedroom,4 Bathroom,2 Garage,4319,,-,1750 feet²,43.83 x 99.68 feet,26,2020-04-25
W4683081,43.58904,-79.6496,Unit 3402 - 385 Prince Of Wales Dr,Mississauga,Condo Apt,539900,580000,2 Bedroom,1 Bathroom,1 Garage,2663,$549/month,6-10,700-799 feet²,,9,2020-02-04
W4645738,43.52985,-79.84106,472 Trudeau Dr,Milton,Detached,769900,769000,3 Bedroom,3 Bathroom,1 Garage,3539,,16-30,1500-2000 feet²,36.09 x 80.38 feet,9,2019-12-02
W4730549,43.5957981,-79.5342766,Unit 35 - 125 Long Branch Ave,Etobicoke,Condo Townhouse,949900,925000,3 Bedroom,3 Bathroom,2 Garage,3212,$450/month,0-5,1400-1599 feet²,,16,2020-03-24
C4745977,43.63334,-79.39979,Unit 105 - 28 Stadium Rd,Toronto,Condo Townhouse,785000,747500,2 Bedroom,2 Bathroom,1 Garage,2916,$338/month,-,700-799 feet²,,10,2020-04-21
W4751666,43.65359,-79.75061,76 Moffatt Ave,Brampton,Detached,829000,812000,4+3 Bedroom,5 Bathroom,2 Garage,5167,,-,2250 feet²,50 x 100.00 feet,25,2020-05-01
W4686933,43.74019,-79.53648,9 Habitant Dr,North York,Semi-Detached,825000,815000,3+1 Bedroom,3 Bathroom,0 Garage,2800,,-,1300 feet²,30 x 125.00 feet,0,2020-02-07
W4735500,43.65323,-79.7534,18 Matterdale Ave,Brampton,Detached,699000,688000,3+1 Bedroom,4 Bathroom,1 Garage,2204,,-,1750 feet²,30.81 x 109.80 feet,25,2020-04-01
W4712505,43.7258,-79.48056,Unit 616 - 2737 Keele St,North York,Condo Apt,325000,318000,2 Bedroom,1 Bathroom,1 Garage,1570,$863/month,-,800-899 feet²,,2,2020-03-06
C4749572,43.6408852,-79.3768827,Unit 1407 - 33 Harbour Sq,Toronto,Condo Apt,998000,950000,2 Bedroom,3 Bathroom,1 Garage,4209,$1202/month,-,1400-1599 feet²,,11,2020-04-28
W4656839,43.69921,-79.8281,15 Hines St,Brampton,Freehold Townhouse,699900,695000,3 Bedroom,3 Bathroom,1 Garage,4537,,0-5,1750 feet²,24.61 x 90.22 feet,7,2019-12-23
N4685413,43.85344,-79.33703,Unit 818 - 32 Clegg Rd,Markham,Condo Apt,448000,490501,1+1 Bedroom,1 Bathroom,1 Garage,1923,$523/month,-,700-799 feet²,,3,2020-02-06
W4713107,43.5767,-79.78894,3816 Densbury Dr,Mississauga,Detached,870000,910000,3 Bedroom,3 Bathroom,2 Garage,4449,,-,1500-2000 feet²,31.99 x 108.27 feet,3,2020-03-06
N4758568,43.83928,-79.28656,18 Silverthorne Rd,Markham,Detached,1088000,1038500,4+2 Bedroom,5 Bathroom,2 Garage,4773,,-,2250 feet²,30.25 x 112.30 feet,10,2020-05-11
C4764105,43.65505,-79.38903,Unit 5210 - 488 University Ave,Toronto,Condo Apt,1988000,1988000,3 Bedroom,3 Bathroom,1 Garage,0,$1253/month,New,1600-1799 feet²,,15,2020-05-19
W4674139,43.74747,-79.58333,Unit 1409 - 2645 Kipling Ave,Etobicoke,Condo Apt,349900,352000,2+1 Bedroom,2 Bathroom,1 Garage,1039,$437/month,-,900-999 feet²,,3,2020-01-22
C4683981,43.6505,-79.38237,Unit 2602 - 70 Temperance St,Toronto,Condo Apt,658000,690000,1+1 Bedroom,1 Bathroom,0 Garage,2624,$327/month,0-5,500-599 feet²,,9,2020-02-04
W4750260,43.65814,-79.47702,63 Woodside Ave,Toronto,Detached,1598000,1538000,4 Bedroom,2 Bathroom,2 Garage,6207,,100+,1500-2000 feet²,30 x 120.00 feet,24,2020-04-29
C4667588,43.77425,-79.34619,Unit 1412 - 66 Forest Manor Rd,North York,Condo Apt,699000,699000,2 Bedroom,2 Bathroom,1 Garage,2715,$652/month,-,900-999 feet²,,24,2020-01-14
W4702502,43.6015486,-79.5164561,80 Sixteenth St,Etobicoke,Detached,1375000,1401000,4+1 Bedroom,4 Bathroom,1 Garage,5861,,-,2750 feet²,40 x 100.00 feet,1,2020-02-26
W4755036,43.5866886,-79.7596711,Unit 505 - 6720 Glen Erin Dr,Mississauga,Condo Apt,400000,395000,1 Bedroom,1 Bathroom,1 Garage,1483,$429/month,-,600-699 feet²,,9,2020-05-06
N4666739,43.96902,-79.22185,60 Greendale Ave,Whitchurch-Stouffville,Detached,998000,1003000,4+1 Bedroom,4 Bathroom,2 Garage,5189,,-,2500-3000 feet²,38.12 x 101.80 feet,17,2020-01-13
C4661711,43.77138,-79.41262,Unit 1601 - 18 Parkview Ave,North York,Condo Apt,445000,440000,1 Bedroom,1 Bathroom,1 Garage,1886,$511/month,-,600-699 feet²,,11,2020-01-06
W4737110,43.55486,-79.74057,3486 Fountain Park Ave,Mississauga,Semi-Detached,799000,858000,3+2 Bedroom,4 Bathroom,1 Garage,4200,,-,1750 feet²,22.31 x 105.09 feet,19,2020-04-02
C4699441,43.64114,-79.38302,Unit 1002 - 25 Lower Simcoe St,Toronto,Condo Apt,619000,625000,1 Bedroom,1 Bathroom,0 Garage,2101,$402/month,6-10,500-599 feet²,,3,2020-02-22
W4733717,43.64263,-79.55879,Unit 1604 - 362 The East Mall Rd,Etobicoke,Condo Apt,569000,535000,2+1 Bedroom,2 Bathroom,1 Garage,1451,$840/month,-,1200-1399 feet²,,30,2020-03-30
W4650275,43.62633,-79.47724,Unit 220 - 80 Marine Parade Dr,Etobicoke,Condo Apt,1299000,1260000,2+1 Bedroom,2 Bathroom,2 Garage,5091,$960/month,-,1200-1399 feet²,,12,2019-12-09
W4720824,43.64983,-79.44453,Unit 508 - 369 Sorauren Ave,Toronto,Condo Apt,1595000,1539500,2 Bedroom,2 Bathroom,1 Garage,5312,$1108/month,11-15,1400-1599 feet²,,67,2020-03-13
C4725810,43.64128,-79.41759,Unit 1410 - 12 Sudbury St,Toronto,Condo Townhouse,999000,975000,3 Bedroom,2 Bathroom,2 Garage,3669,$518/month,16-30,1200-1399 feet²,,5,2020-03-18
E4727072,43.66287,-79.33975,Unit 2 - 50 Boston Ave,Toronto,Condo Apt,579900,604748,1 Bedroom,1 Bathroom,1 Garage,2350,$419/month,-,500-599 feet²,,5,2020-03-19
N4687186,43.84581,-79.42936,Unit 815 - 51 Baffin Crt,Richmond Hill,Condo Apt,429000,460000,1 Bedroom,1 Bathroom,2 Garage,1595,$398/month,-,500-599 feet²,,2,2020-02-07
W4705985,43.89473,-79.73559,33 Egan Cres,Caledon,Detached,1099000,1130000,4 Bedroom,4 Bathroom,2 Garage,5211,,-,- feet²,43.41 x 118.11 feet,2,2020-03-01
C4764734,43.64007,-79.37905,Unit 3011 - 99 Harbour Sq,Toronto,Condo Apt,787900,807000,1 Bedroom,1 Bathroom,1 Garage,3050,$735/month,16-30,700-799 feet²,,13,2020-05-19
E4745200,43.8434,-79.07959,Unit 525 - 1555 Kingston Rd,Pickering,Condo Townhouse,528800,520000,2 Bedroom,3 Bathroom,1 Garage,3482,$225/month,0-5,1000-1199 feet²,,3,2020-04-20
C4707881,43.69736,-79.40443,36 Oxton Ave,Toronto,Freehold Townhouse,1150000,1262000,2+1 Bedroom,2 Bathroom,0 Garage,5598,,-,1300 feet²,18.09 x 115.72 feet,3,2020-03-02
C4684065,43.6408852,-79.3768827,Unit 2231 - 33 Harbour Sq Sq,Toronto,Condo Apt,799900,790000,1 Bedroom,1 Bathroom,1 Garage,3114,$909/month,-,1000-1199 feet²,,16,2020-02-05
E4659684,43.8720788,-79.0902307,2442 Tillings Rd,Pickering,Freehold Townhouse,698800,698000,3 Bedroom,3 Bathroom,1 Garage,4301,,6-15,1500-2000 feet²,19.69 x 96.29 feet,8,2020-01-03
N4702459,43.87119,-79.47019,60 Yates Ave,Vaughan,Detached,1799800,1728000,5+1 Bedroom,5 Bathroom,2 Garage,8897,,0-5,3000-3500 feet²,52.23 x 106.79 feet,1,2020-02-26
E4685486,43.876,-79.0821,1880 Liatris Dr,Pickering,Freehold Townhouse,649900,660000,3+1 Bedroom,3 Bathroom,1 Garage,4692,,-,1750 feet²,23 x 82.05 feet,7,2020-02-05
W4677422,43.64196,-79.87458,47 Gooderham Dr,Halton Hills,Detached,1349900,1302500,4 Bedroom,3 Bathroom,3 Garage,6563,,16-30,3500-5000 feet²,37.27 x 131.56 feet,16,2020-01-28
C4659320,43.7958799,-79.42712,Unit 205 - 10 Tangreen Crt,North York,Condo Apt,569000,543000,3 Bedroom,2 Bathroom,2 Garage,2203,$603/month,-,1200-1399 feet²,,25,2020-01-02
W4706233,43.65072,-79.93386,45 Cleaveholm Dr,Halton Hills,Detached,999900,999975,4 Bedroom,3 Bathroom,2 Garage,5012,,31-50,1500-2000 feet²,84.77 x 98.08 feet,8,2020-03-02
E4699847,43.67997,-79.33533,136 Chatham Ave,Toronto,Detached,1249000,1600000,3+3 Bedroom,4 Bathroom,1 Garage,5493,,-,1750 feet²,31.75 x 121.49 feet,10,2020-02-24
W4766146,43.60174,-79.60942,Unit 401 - 3351 Cawthra Rd,Mississauga,Condo Apt,650000,647000,2+1 Bedroom,2 Bathroom,2 Garage,3252,$651/month,-,1200-1399 feet²,,6,2020-05-21
W4704221,43.71094,-79.78964,158 Dumfries Ave,Brampton,Detached,749900,775000,3+1 Bedroom,4 Bathroom,2 Garage,4329,,16-30,2000-2500 feet²,26.13 x 106.35 feet,5,2020-02-27
C4662501,43.72047,-79.34903,Unit 2005 - 1101 Leslie St,North York,Condo Apt,959900,955000,2+1 Bedroom,2 Bathroom,2 Garage,4052,$1288/month,-,1200-1399 feet²,,13,2020-01-07
E4726734,43.72993,-79.27328,Unit 202 - 2245 Eglinton Ave E,Scarborough,Condo Apt,399900,390000,2 Bedroom,1 Bathroom,1 Garage,1027,$543/month,31-50,900-999 feet²,,29,2020-03-19
W4714279,43.7186,-79.65713,7794 Benavon Rd,Mississauga,Semi-Detached,599000,720000,3+1 Bedroom,2 Bathroom,1 Garage,3365,,-,1750 feet²,29.99 x 125.00 feet,6,2020-03-09
W4706869,43.64483,-79.44101,27 Garden Ave,Toronto,Semi-Detached,929000,1330000,3 Bedroom,1 Bathroom,1 Garage,5060,,100+,2000-2500 feet²,16.48 x 125.00 feet,7,2020-03-02
E4717921,43.74992,-79.24222,22 Perivale Cres,Scarborough,Detached,749900,851000,4 Bedroom,2 Bathroom,1 Garage,3242,,-,1750 feet²,50 x 125.00 feet,15,2020-03-10
W4752859,43.77305,-79.68136,40 Upperlinks Dr,Brampton,Detached,1299999,1200000,4+2 Bedroom,6 Bathroom,2 Garage,8881,,-,4250 feet²,50 x 110.40 feet,3,2020-05-01
C4691931,43.75685,-79.40888,Unit 2001 - 28 Harrison Garden Blvd,North York,Condo Apt,638000,660000,2 Bedroom,2 Bathroom,1 Garage,2230,$641/month,-,800-899 feet²,,8,2020-02-13
C4550797,43.77905,-79.40263,205 Byng Ave,North York,Detached,2799000,2600000,4+1 Bedroom,6 Bathroom,2 Garage,12704,,-,3500-5000 feet²,56.5 x 110.00 feet,190,2019-08-19
W4674884,43.58511,-79.64616,Unit 3004 - 4011 Brickstone Mews,Mississauga,Condo Apt,493000,498000,1 Bedroom,1 Bathroom,1 Garage,2100,$342/month,0-5,600-699 feet²,,4,2020-01-23
C4748615,43.65577,-79.37595,Unit 808 - 75 Dalhousie St,Toronto,Condo Apt,598800,581000,1 Bedroom,1 Bathroom,1 Garage,1828,$566/month,-,500-599 feet²,,37,2020-04-25
W4680119,43.58618,-79.54935,Unit 301 - 1437 Lakeshore Rd E,Mississauga,Condo Townhouse,709900,710000,2 Bedroom,2 Bathroom,1 Garage,3501,$290/month,-,1000-1199 feet²,,2,2020-01-31
E4715693,43.6623,-79.3475,105 Boulton Ave,Toronto,Freehold Townhouse,1199000,1350000,3+1 Bedroom,3 Bathroom,0 Garage,4436,,-,1500-2000 feet²,16.25 x 100.00 feet,7,2020-03-10
E4709418,43.81532,-79.2217,41 Maidenhair Lane,Scarborough,Semi-Detached,749999,735000,3 Bedroom,3 Bathroom,1 Garage,2860,,-,1750 feet²,22.47 x 98.43 feet,2,2020-03-04
W4757220,43.50151,-79.86419,595 Serafini Cres,Milton,Detached,1099000,1090000,4 Bedroom,4 Bathroom,2 Garage,4021,,6-15,2000-2500 feet²,37.07 x 101.71 feet,9,2020-05-08
N4763467,43.82574,-79.46958,97 Maple Sugar Lane,Vaughan,Semi-Detached,949000,918500,3+1 Bedroom,4 Bathroom,1 Garage,4231,,6-15,1500-2000 feet²,24 x 100.00 feet,1,2020-05-17
W4630434,43.7180744,-79.8296003,24 Francesco St,Brampton,Semi-Detached,609900,627000,3+1 Bedroom,3 Bathroom,1 Garage,4034,,0-5,1750 feet²,26.43 x 44.62 feet,74,2019-11-08
N4711966,43.8559648,-79.3282786,Unit 232 - 25 Water Walk Dr,Markham,Condo Apt,499000,580000,1+1 Bedroom,1 Bathroom,1 Garage,1946,$340/month,-,600-699 feet²,,7,2020-03-05
W4634293,43.89217,-79.85054,16198 Centreville Creek Rd,Caledon,Detached,898000,845000,3+1 Bedroom,2 Bathroom,2 Garage,4898,,-,- feet²,393.11 x 545.43 feet,25,2019-11-14
W4696724,43.6055,-79.54644,615 Brown's Line,Etobicoke,Detached,1049800,1050000,3 Bedroom,2 Bathroom,2 Garage,3425,,-,1300 feet²,50 x 120.00 feet,22,2020-02-18
W4674662,43.62617,-79.50494,Unit 306 - 760 The Queensway Ave,Etobicoke,Condo Apt,515000,510100,1+1 Bedroom,1 Bathroom,1 Garage,3100,$543/month,0-5,600-699 feet²,,11,2020-01-23
